Ref,Val,Package,PosX,PosY,Rot,Side
"C179","C_Small","C_0201_0603Metric",120.570000,-69.585000,90.000000,bottom
"C180","C_Small","C_0201_0603Metric",133.070000,-76.235000,90.000000,bottom
"C181","C_Small","C_0201_0603Metric",64.580000,-95.970000,-90.000000,bottom
"C182","C_Small","C_0201_0603Metric",77.080000,-85.230000,90.000000,bottom
"C183","C_Small","C_0201_0603Metric",64.560000,-93.630000,-90.000000,bottom
"C184","C_Small","C_0201_0603Metric",77.070000,-87.735000,-90.000000,bottom
"C185","C_Small","C_0201_0603Metric",64.570000,-90.390000,-90.000000,bottom
"C186","C_Small","C_0201_0603Metric",77.060000,-90.320000,-90.000000,bottom
"C187","C_Small","C_0201_0603Metric",64.570000,-85.585000,90.000000,bottom
"C188","C_Small","C_0201_0603Metric",77.070000,-92.235000,90.000000,bottom
"C189","C_Small","C_0201_0603Metric",78.580000,-95.970000,-90.000000,bottom
"C190","C_Small","C_0201_0603Metric",91.080000,-85.230000,90.000000,bottom
"C191","C_Small","C_0201_0603Metric",78.560000,-93.630000,-90.000000,bottom
"C192","C_Small","C_0201_0603Metric",91.070000,-87.735000,-90.000000,bottom
"C193","C_Small","C_0201_0603Metric",78.570000,-90.390000,-90.000000,bottom
"C194","C_Small","C_0201_0603Metric",91.060000,-90.320000,-90.000000,bottom
"C195","C_Small","C_0201_0603Metric",78.570000,-85.585000,90.000000,bottom
"C196","C_Small","C_0201_0603Metric",91.070000,-92.235000,90.000000,bottom
"C197","C_Small","C_0201_0603Metric",92.580000,-95.970000,-90.000000,bottom
"C198","C_Small","C_0201_0603Metric",105.080000,-85.230000,90.000000,bottom
"C199","C_Small","C_0201_0603Metric",92.560000,-93.630000,-90.000000,bottom
"C200","C_Small","C_0201_0603Metric",105.070000,-87.735000,-90.000000,bottom
"C201","C_Small","C_0201_0603Metric",92.570000,-90.390000,-90.000000,bottom
"C202","C_Small","C_0201_0603Metric",105.060000,-90.320000,-90.000000,bottom
