Ref,Val,Package,PosX,PosY,Rot,Side
"C181","1uF","C_0201_0603Metric",64.580000,-95.970000,-90.000000,bottom
"C182","1uF","C_0201_0603Metric",77.080000,-85.230000,90.000000,bottom
"C183","1uF","C_0201_0603Metric",64.560000,-93.630000,-90.000000,bottom
"C184","1uF","C_0201_0603Metric",77.070000,-87.735000,-90.000000,bottom
"C185","1uF","C_0201_0603Metric",64.570000,-90.390000,-90.000000,bottom
"C186","1uF","C_0201_0603Metric",77.060000,-90.320000,-90.000000,bottom
"C187","1uF","C_0201_0603Metric",64.570000,-85.585000,90.000000,bottom
"C188","1uF","C_0201_0603Metric",77.070000,-92.235000,90.000000,bottom
"C189","1uF","C_0201_0603Metric",78.580000,-95.970000,-90.000000,bottom
"C190","1uF","C_0201_0603Metric",91.080000,-85.230000,90.000000,bottom
"C191","1uF","C_0201_0603Metric",78.560000,-93.630000,-90.000000,bottom
"C192","1uF","C_0201_0603Metric",91.070000,-87.735000,-90.000000,bottom
"C193","1uF","C_0201_0603Metric",78.570000,-90.390000,-90.000000,bottom
"C194","1uF","C_0201_0603Metric",91.060000,-90.320000,-90.000000,bottom
"C195","1uF","C_0201_0603Metric",78.570000,-85.585000,90.000000,bottom
"C196","1uF","C_0201_0603Metric",91.070000,-92.235000,90.000000,bottom
"C197","1uF","C_0201_0603Metric",92.580000,-95.970000,-90.000000,bottom
"C198","1uF","C_0201_0603Metric",105.080000,-85.230000,90.000000,bottom
"C199","1uF","C_0201_0603Metric",92.560000,-93.630000,-90.000000,bottom
"C200","1uF","C_0201_0603Metric",105.070000,-87.735000,-90.000000,bottom
"C201","1uF","C_0201_0603Metric",92.570000,-90.390000,-90.000000,bottom
"C202","1uF","C_0201_0603Metric",105.060000,-90.320000,-90.000000,bottom
"C203","1uF","C_0201_0603Metric",92.570000,-85.585000,90.000000,bottom
"C204","1uF","C_0201_0603Metric",105.070000,-92.235000,90.000000,bottom
"C205","1uF","C_0201_0603Metric",106.580000,-95.970000,-90.000000,bottom
"C206","1uF","C_0201_0603Metric",119.080000,-85.230000,90.000000,bottom
"C207","1uF","C_0201_0603Metric",106.560000,-93.630000,-90.000000,bottom
"C208","1uF","C_0201_0603Metric",119.070000,-87.735000,-90.000000,bottom
"C209","1uF","C_0201_0603Metric",106.570000,-90.390000,-90.000000,bottom
"C210","1uF","C_0201_0603Metric",119.060000,-90.320000,-90.000000,bottom
"C211","1uF","C_0201_0603Metric",106.570000,-85.585000,90.000000,bottom
"C212","1uF","C_0201_0603Metric",119.070000,-92.235000,90.000000,bottom
"C213","1uF","C_0201_0603Metric",120.580000,-95.970000,-90.000000,bottom
"C214","1uF","C_0201_0603Metric",133.080000,-85.230000,90.000000,bottom
"C215","1uF","C_0201_0603Metric",120.560000,-93.630000,-90.000000,bottom
"C216","1uF","C_0201_0603Metric",133.070000,-87.735000,-90.000000,bottom
"C217","1uF","C_0201_0603Metric",120.570000,-90.390000,-90.000000,bottom
"C218","1uF","C_0201_0603Metric",133.060000,-90.320000,-90.000000,bottom
"C219","1uF","C_0201_0603Metric",120.570000,-85.585000,90.000000,bottom
"C220","1uF","C_0201_0603Metric",133.070000,-92.235000,90.000000,bottom
"C221","1uF","C_0201_0603Metric",64.580000,-111.970000,-90.000000,bottom
"C222","1uF","C_0201_0603Metric",77.080000,-101.230000,90.000000,bottom
"C223","1uF","C_0201_0603Metric",64.560000,-109.630000,-90.000000,bottom
"C224","1uF","C_0201_0603Metric",77.070000,-103.735000,-90.000000,bottom
"C225","1uF","C_0201_0603Metric",64.570000,-106.390000,-90.000000,bottom
"C226","1uF","C_0201_0603Metric",77.060000,-106.320000,-90.000000,bottom
"C227","1uF","C_0201_0603Metric",64.570000,-101.585000,90.000000,bottom
"C228","1uF","C_0201_0603Metric",77.070000,-108.235000,90.000000,bottom
"C229","1uF","C_0201_0603Metric",78.580000,-111.970000,-90.000000,bottom
"C230","1uF","C_0201_0603Metric",91.080000,-101.230000,90.000000,bottom
"C231","1uF","C_0201_0603Metric",78.560000,-109.630000,-90.000000,bottom
"C232","1uF","C_0201_0603Metric",91.070000,-103.735000,-90.000000,bottom
"C233","1uF","C_0201_0603Metric",78.570000,-106.390000,-90.000000,bottom
"C234","1uF","C_0201_0603Metric",91.060000,-106.320000,-90.000000,bottom
"C235","1uF","C_0201_0603Metric",78.570000,-101.585000,90.000000,bottom
"C236","1uF","C_0201_0603Metric",91.070000,-108.235000,90.000000,bottom
"C237","1uF","C_0201_0603Metric",92.580000,-111.970000,-90.000000,bottom
"C238","1uF","C_0201_0603Metric",105.080000,-101.230000,90.000000,bottom
"C239","1uF","C_0201_0603Metric",92.560000,-109.630000,-90.000000,bottom
"C240","1uF","C_0201_0603Metric",105.070000,-103.735000,-90.000000,bottom
"C241","1uF","C_0201_0603Metric",92.570000,-106.390000,-90.000000,bottom
"C242","1uF","C_0201_0603Metric",105.060000,-106.320000,-90.000000,bottom
"C243","1uF","C_0201_0603Metric",92.570000,-101.585000,90.000000,bottom
"C244","1uF","C_0201_0603Metric",105.070000,-108.235000,90.000000,bottom
"C245","1uF","C_0201_0603Metric",106.580000,-111.970000,-90.000000,bottom
"C246","1uF","C_0201_0603Metric",119.080000,-101.230000,90.000000,bottom
"C247","1uF","C_0201_0603Metric",106.560000,-109.630000,-90.000000,bottom
"C248","1uF","C_0201_0603Metric",119.070000,-103.735000,-90.000000,bottom
"C249","1uF","C_0201_0603Metric",106.570000,-106.390000,-90.000000,bottom
"C250","1uF","C_0201_0603Metric",119.060000,-106.320000,-90.000000,bottom
"C251","1uF","C_0201_0603Metric",106.570000,-101.585000,90.000000,bottom
"C252","1uF","C_0201_0603Metric",119.070000,-108.235000,90.000000,bottom
"C253","1uF","C_0201_0603Metric",120.580000,-111.970000,-90.000000,bottom
"C254","1uF","C_0201_0603Metric",133.080000,-101.230000,90.000000,bottom
"C255","1uF","C_0201_0603Metric",120.560000,-109.630000,-90.000000,bottom
"C256","1uF","C_0201_0603Metric",133.070000,-103.735000,-90.000000,bottom
"C257","1uF","C_0201_0603Metric",120.570000,-106.390000,-90.000000,bottom
"C258","1uF","C_0201_0603Metric",133.060000,-106.320000,-90.000000,bottom
"C259","1uF","C_0201_0603Metric",120.570000,-101.585000,90.000000,bottom
"C260","1uF","C_0201_0603Metric",133.070000,-108.235000,90.000000,bottom
"U101","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",70.830000,-58.395000,-90.000000,bottom
"U103","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",84.830000,-58.395000,-90.000000,bottom
"U105","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",98.830000,-58.395000,-90.000000,bottom
"U107","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",112.830000,-58.395000,-90.000000,bottom
"U109","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",126.830000,-58.395000,-90.000000,bottom
"U111","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",70.830000,-74.395000,-90.000000,bottom
"U113","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",84.830000,-74.395000,-90.000000,bottom
"U115","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",98.830000,-74.395000,-90.000000,bottom
"U117","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",112.830000,-74.395000,-90.000000,bottom
"U119","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",126.830000,-74.395000,-90.000000,bottom
"U121","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",70.830000,-90.395000,-90.000000,bottom
"U123","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",84.830000,-90.395000,-90.000000,bottom
"U125","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",98.830000,-90.395000,-90.000000,bottom
"U127","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",112.830000,-90.395000,-90.000000,bottom
"U129","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",126.830000,-90.395000,-90.000000,bottom
"U131","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",70.830000,-106.395000,-90.000000,bottom
"U133","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",84.830000,-106.395000,-90.000000,bottom
"U135","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",98.830000,-106.395000,-90.000000,bottom
"U137","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",112.830000,-106.395000,-90.000000,bottom
"U139","~","CONN-SMD_70P-P0.40_HCTL_HC-PBB40C-70DP-0.4V-02",126.830000,-106.395000,-90.000000,bottom
